Game_title,Game_ID,Min_players,Max_players,Playing_time,Year_published,Item_type,Publisher,Language,Rent_price,Price,Tournament_game
Scenariusz za Milion,304336,3,10,60,2021,standalone,Portal Games,Polish,8,80,0.0
Scrabble Deluxe Edition,320,2,4,90,2008,standalone,"Mattel, Inc.",Polish,13,130,0.0
Scythe,169786,1,5,115,2016,standalone,PHALANX,Polish,50,500,0.0
Scythe: Najeźdzcy z dalekich krain,199727,1,7,140,2017,expansion,PHALANX,Polish,10,100,0.0
Scythe: The Wind Gambit,223555,1,7,140,2017,expansion,,,10,100,0.0
Sen,236245,2,5,60,2017,standalone,Nasza Księgarnia,Polish,8,80,0.0
Serowa uczta,150978,2,4,20,2016,standalone,Trefl,Polish,8,80,0.0
Sherlook,217619,2,6,30,2018,standalone,Trefl Joker Line,Polish,8,80,0.0
Sid Meier's Civilization: Gra Planszowa,77130,2,4,240,2011,standalone,Galakta,Polish,22,220,0.0
Sid Meier's Civilization: Gra Planszowa – Sława i Bogactwo,108415,2,5,180,2012,expansion,Galakta,Polish,11,110,0.0
Sierra West,257066,1,4,60,2020,standalone,Lucrum Games,Polish,20,200,0.0
Skytopia: W Kręgu Czasu,284832,2,4,60,2022,standalone,Portal Games,Polish,14,140,0.0
Small World of Warcraft,309630,2,5,80,2020,standalone,Blizzard Entertainment; Days of Wonder,Polish,30,300,0.0
Smartphone Inc.,246684,1,5,90,2021,standalone,Portal Games,Polish,24,240,0.0
Smoki,39534,2,5,30,2020,standalone,Nasza Księgarnia,Polish,8,80,0.0
So Clover!,329839,3,6,30,2021,standalone,,,9,90,0.0
Solar City,248182,1,4,60,2020,standalone,IUVI Games,Polish,18,180,0.0
Solar City: Serce Miasta,321959,1,4,60,2020,expansion,IUVI Games,Polish,8,80,0.0
Solar City: Suburbia,321960,1,4,60,2020,expansion,IUVI Games,Polish,7,70,0.0
Solenia,254018,1,4,45,2019,standalone,Rebel Sp. z o.o.,Polish,15,150,0.0
Sons of Anarchy: Men of Mayhem,156091,3,4,90,2014,standalone,"Gale Force Nine, LLC",English,15,150,0.0
Space Hulk: Anioł Śmierci – Gra karciana,71721,1,6,60,2010,standalone,Galakta; Fantasy Flight Games; Games Workshop Ltd.,Polish,9,90,0.0
Spacer po Burano,257769,1,4,40,2020,standalone,Nasza Księgarnia,Polish,8,80,0.0
Spartakus: Krew i Zdrada,128671,3,4,180,2017,standalone,Games Factory Publishing,Polish,22,220,0.0
Spartakus: Węże i Wilk,134466,3,6,180,2017,expansion,Games Factory Publishing,Polish,11,110,0.0
Spartakus: Widmo Śmierci,164270,3,7,150,2017,expansion,Games Factory Publishing,Polish,11,110,0.0
Spektrum,262543,2,12,45,2021,standalone,Rebel Sp. z o.o.,Polish,13,130,0.0
Spirit Island,162886,1,4,120,2020,standalone,"Greater Than Games, LLC; Lacerta",Polish,36,360,0.0
Splendor,148228,2,4,30,2014,standalone,Rebel Sp. z o.o.,Polish,17,170,1.0
Splendor: Marvel,293296,2,4,30,2021,standalone,Rebel Sp. z o.o.,Polish,17,170,0.0
Splendor: Miasta,220653,2,4,30,2017,expansion,Rebel Sp. z o.o.,Polish,13,130,0.0
Star Realms,147020,2,2,20,2021,standalone,IUVI Games; Wise Wizard Games,Polish,8,80,0.0
Star Wars: Pałac Jabby,353470,2,6,20,2022,standalone,Z-Man Games,Polish,8,80,0.0
